symbol,acct,qty,per_share
DRAM,471,45,58.15
ESGU,471,8.04,90.84
EWY,471,6,181
FRDM,471,20.18,54.92
GDX,471,8,101.7
GLD,471,1,408.6
IBB,471,22.11,134.13
ITB,471,30.31,103.42
IWM,471,16.14,198.96
OIH,471,2,432.62
SLV,471,15,64.05
XLC,471,21.38,94.8
XLE,471,41.05,39.68
XLF,471,109.56,32.55
XLI,471,16.38,137.08
XLK,471,32.41,61.42
XLU,471,78.41,36.87
SWTSX,471,722,7.78
AAPL,963,4,245.45
ABT,963,19.36,100.21
AIR,963,10,90.5
AKAM,963,34,88.59
AMD,963,22,173.45
AVGO,963,3,376
BA,963,15,182.08
C,963,16.89,64.48
CARR,963,60.53,39.05
CDNS,963,13,295.88
CMCSA,963,56.27,41.22
CMI,963,3,419
D,963,71.05,63.13
DE,963,2.01,477.28
EADSY,963,54,36.99
ETR,963,14.57,76.69
FSLR,963,8,236.31
GE,963,12.74,146.59
GILD,963,11,110.24
IBM,963,8,244.72
IEX,963,4,203.5
INTC,963,7.79,20.8
IPGP,963,7,111.76
IR,963,0,86.49
KALU,963,20.43,93.59
KEY,963,317.55,16.96
LHX,963,10.55,175.82
LMT,963,9.39,436.96
LRCX,963,5.16,77.48
LYB,963,50.49,77.62
MRNA,963,69,67.37
MSFT,963,8.04,453.54
NVDA,963,24,171.43
OSK,963,7,121
PFE,963,25.82,25.41
PLTR,963,6,168.22
RNKGF,963,16,87.28
RTX,963,17.92,95.59
SAABY,963,40,19.94
SCHW,963,38.23,70.72
SKHY,963,7,166
SWKS,963,21.32,79.15
TMC,963,200,6.92
TS,963,15,61.82
TT,963,2,425
UPS,963,28.54,157.74
USAR,963,50,24.12
VSNT,963,2,58.54
WDS,963,13,21.52
WFC,963,10,76.7
DRAM,963,18,56
IBB,963,23.25,139.95
OIH,963,2,418.25
TAN,963,23.11,47.39
XLE,963,57.49,45.48
XLI,963,29.41,78.69
XLK,963,14.12,98.92
XLU,963,26.81,38.45
AEPFX,963,58.28,55.67
SWTSX,963,182.66,11.76
AAPL,425,5,282.23
ABR,425,43.93,12.91
ACI,425,120.63,18.48
ACM,425,20.19,106.44
ADAM,425,147.04,13.11
AGCO,425,30.8,114.62
AIT,425,4.01,274.6
ALAB,425,4,247
AMAT,425,8.05,292.92
AMCR,425,21,60.38
AMD,425,18,209.4
AME,425,4,233.35
AMGN,425,6.05,300.56
AMZN,425,26,164.26
AVAV,425,5,189.1
AVGO,425,28.25,240.49
BABA,425,19,231.94
BAC,425,31.26,34.42
BAESY,425,11,85.08
BBY,425,40.16,82.98
BG,425,16.11,110.87
BILI,425,21,118.5
BNTX,425,22,132.18
BULL,425,29,17.5
C,425,35.29,64.67
CCJ,425,10,126.6
CE,425,50.7,82.09
CEG,425,8.06,228.53
CHRD,425,11.29,131.54
CIEN,425,8,544.94
CLFD,425,60,54.17
COF,425,15.11,211.98
COHR,425,10,341.47
COP,425,22,104.94
CQP,425,25.66,51.03
CR,425,5.01,205.72
CRSP,425,38,108.95
CRUS,425,6,171
CTVA,425,10,71.8
CW,425,2,650.41
DE,425,3.01,485.76
DRS,425,35.38,28.74
DVN,425,87.28,55.12
EMR,425,10.39,111.61
ENPH,425,73,139.64
EOG,425,13.25,110.47
EPD,425,38.86,27.43
EQT,425,28.94,32.41
FDX,425,6.07,308.25
FDXF,425,1,140.33
FLNG,425,7.26,26.38
FRVO,425,35,31.59
GE,425,3.01,321.97
GEV,425,2,656.38
GFS,425,11,69.7
GGB,425,1062.86,3.13
GLW,425,25.11,124.12
GOOGL,425,32.23,175.49
HAL,425,34.32,35.74
HEI,425,4,252.09
HESM,425,48.44,32.37
IBM,425,9.05,250.18
ISRG,425,3,425
JNJ,425,13.97,159.87
JPM,425,9.17,256.38
KLAC,425,20.02,66.26
KTOS,425,20,70.18
LHX,425,15.79,197.32
LMT,425,4.42,402.55
LNG,425,8.44,163.23
LYB,425,83.05,77.27
MLM,425,1.01,515.6
MOS,425,55,34.14
MRK,425,19.58,99.85
MRNA,425,96,67.75
MRVL,425,5,204.1
MSFT,425,11.09,404.16
MU,425,0.64,65.48
NEE,425,60.73,70.66
NLY,425,57.9,29.6
NOVT,425,12,175.6
NUE,425,25.28,128.24
NVDA,425,41,159.16
NVO,425,10,58
NVS,425,21.34,94.95
OKE,425,0.48,72.18
OLLI,425,9,116.5
OLN,425,94.57,28.69
ORCL,425,0.16,167.79
PFE,425,74.73,30.79
QDEL,425,20,150.65
RIO,425,51.08,67.15
RNMBY,425,10,304.02
RS,425,8.13,275.68
RTX,425,12.77,88.27
SAN,425,100,8.43
SPCX,425,13,171.23
STRL,425,3,320
SUOPY,425,53,38.4
SWK,425,51.2,111.61
TEL,425,4,228.75
TSM,425,4,289.12
ULS,425,15.21,55.7
VRTX,425,2,466.58
WFC,425,10,76
WMB,425,0.62,61.93
WMT,425,17.05,117.42
WY,425,290.97,29.56
XYZ,425,10,261
ZBH,425,10.05,110.07
DRAM,425,20,51.25
EUAD,425,30.12,33.28
EWZ,425,84.61,31.71
FCG,425,84.08,25.45
FRDM,425,23.85,36.27
HEAL,425,41,60.15
IEMG,425,50.7,63.75
ITA,425,10.36,110.84
OIH,425,2,407
QQEW,425,10.09,123.8
SPTL,425,38.86,38.14
UAE,425,54.22,19.47
XLE,425,57.55,33.58
XLU,425,75.83,37.91
AEPFX,425,135.5,56.51
SWPPX,425,65.36,15.67
AAPL,206,8,265.1
ADI,206,4.91,128.91
AMZN,206,5,182
AVGO,206,3,275.42
C,206,14.09,108.41
CMI,206,3,421.78
COF,206,9,216.24
CW,206,2,643.05
D,206,88.09,61.41
DDOG,206,5,219
DE,206,2.01,481.77
DIS,206,13.31,100.12
DOV,206,7.05,166.22
DVN,206,30,33.83
EXP,206,6.02,247.68
GE,206,9.31,65.47
GEV,206,2,572
INTC,206,0.53,28.96
JNJ,206,15.32,180.17
JPM,206,8.67,136.54
MAS,206,11.21,66.7
META,206,10,607.59
MRNA,206,91,79.53
MSFT,206,15.32,376.5
NGG,206,53.31,59.57
NOC,206,2.02,651.36
NVDA,206,20.31,147.03
PFE,206,42.55,25.6
PG,206,15.09,100.41
TEL,206,4,226.35
VG,206,55,16.4
VMC,206,4.05,245.35
WFC,206,12.41,34.21
WMT,206,9.22,49.22
AIQ,206,60.21,32.06
IDV,206,73.61,30.54
JEPQ,206,17.6,57.01
QQEW,206,10.15,107.13
SPY,206,1.02,607.98
TAN,206,53.05,61.17
XLE,206,27.13,42.22
XLK,206,12.14,85.66
SWPPX,206,65.36,15.67
SWTSX,206,273.91,9.94
AAPL,525,4.01,241.23
ADI,525,3.04,141.94
AIR,525,9,101.7
AIT,525,4,279.94
AVAV,525,3,241.1
AVEX,525,30,19.7
AVGO,525,3,364.55
C,525,7.07,117.5
D,525,35.2,63.98
DE,525,1.01,475.86
ET,525,48.8,19.51
GILD,525,14.49,68
GOOGL,525,4,170
IBKR,525,18.08,62.93
IBM,525,5.05,243.78
LHX,525,4,242
MCD,525,7.74,197.39
MRNA,525,46,64
MSFT,525,10.39,281.6
NEE,525,20.18,39.47
NOC,525,1.01,670.65
NVDA,525,27,158.44
PFE,525,41.88,26.45
PG,525,7.34,159.91
PSX,525,10.07,175.79
RTX,525,7.03,131.2
SCHW,525,17.81,60.07
TOL,525,10,135
WAB,525,5.02,212.28
WMB,525,9.79,56.37
HYG,525,16.58,86.86
QQEW,525,12.18,107.2
TAN,525,46.01,57.69
UAE,525,20.85,19.5
XLF,525,32.85,34.38
XLI,525,20.65,122.76
RPMGX,525,29.57,95.56
SWPPX,525,32.68,15.68
SWTSX,525,273.91,9.94
AAPL,520,4,250.53
AMD,520,5,204
ARCC,520,44,22.66
AVGO,520,3,363.5
C,520,14.09,106.74
CEG,520,4.03,273.54
CIEN,520,2,515
COF,520,3.01,187.99
CSCO,520,11.18,69.33
CW,520,2,654.84
D,520,43.06,62.51
EXC,520,8,42.5
F,520,188.81,12.21
GE,520,3,295
GILD,520,22.67,67.08
GLW,520,6.01,188.06
GOOGL,520,5,188
IBM,520,3.02,256.77
INTC,520,12.11,19.7
LEN,520,9.05,100.1
META,520,2,640
MSFT,520,16.38,291.47
NOC,520,2.02,649.87
NVDA,520,21,191.56
NVO,520,22,77.7
NVS,520,5,98.02
PFE,520,116.23,28.41
SNY,520,20,43.17
STLD,520,11.46,107.15
TEL,520,4,229.89
UPS,520,36.43,143.48
VMC,520,4.01,245.07
WAB,520,5.02,211.98
WMT,520,46.68,57.84
TAN,520,20.1,47.44
VOO,520,1.02,559.44
XLC,520,10.21,100.28
XLE,520,26.87,42.86
XLF,520,42.58,32.09
XLI,520,7,152
XLU,520,33,33.81
SWTSX,520,273.91,9.94
AVAV,933,5,183.5
COF,933,6.05,224.7
VZ,933,14.58,48.41
XME,933,2.31,51.04
SWTSX,933,394.25,7.65
COF,190,10.08,257.69
DE,190,2.01,480.62
META,190,8.07,304.39
PYPL,190,40,158.65
TSLA,190,4,259.41
ABEV,ibkr,3266,3.01
ACI,ibkr,109,22.15
AMAT,ibkr,5,162.71
ASML,ibkr,3,675.91
AVGO,ibkr,3,390.33
BABA,ibkr,40,218.4
BAESY,ibkr,21,99.03
CAG,ibkr,191,31.89
DVN,ibkr,302,46.49
F,ibkr,618,13.39
GLW,ibkr,7,161.74
HAGHY,ibkr,135,7.44
IBM,ibkr,3,311.33
INTC,ibkr,75,20.55
KLAC,ibkr,5,71.91
LRCX,ibkr,20,100.9
MCHP,ibkr,10,74.7
MHVIY,ibkr,128,8.75
MRK,ibkr,61,86.14
MU,ibkr,1,938
NET,ibkr,3,299.33
NVDA,ibkr,5,201.2
NVO,ibkr,39,53.84
NVS,ibkr,8,125.52
PYPL,ibkr,153,143.08
QBTS,ibkr,30,29.92
RNMBY,ibkr,6,347.88
SAABY,ibkr,51,19.8
SMERY,ibkr,85,12.28
SNDK,ibkr,1,1493
VZ,ibkr,208.36,55.53
WBD,ibkr,123,26.93
WDS,ibkr,214,21.5
WOLF,ibkr,20,26.26
